address	name	description	unit	type	len	factor	offset	role	room	poll	wp
40002	Modbus_Firmware	Modbus-Firmware-Version		uint16be	1	1	0	value		true	false	
40004	Hersteller	Hersteller		string	16	1	0	value		true	false	
40020	Modell	Modell		string	16	1	0	value		true	false	
40036	Seriennummer	Seriennummer		string	16	1	0	value		true	false	
40052	Firmware	Firmware Release		string	16	1	0	value		true	false	
40068	PV_Leistung	Photovoltaik-Leistung in Watt	W	int32sw	2	1	0	value		true	false	
40070	Batterie_Leistung	Batterie-Leistung in Watt	W	int32sw	2	1	0	value		true	false	
40072	Hausverbrauch_Leistung	Hausverbrauchs-Leistung in Watt	W	int32sw	2	1	0	value		true	false	
40074	Netz_Leistung	Leistung am Netzübergabepunkt in Watt	W	int32sw	2	1	0	value		true	false	
40082	Autarkie_Eigenverbrauch	Autarkie und Eigenverbrauch in Prozent		uint16be	1	1	0	value		true	false	
40083	Batterie_SOC	Batterie-SOC in Prozent	%	uint16be	1	1	0	value		true	false	
40084	Emergency_Power_Status	Emergency-Power Status		uint16be	1	1	0	value		true	false	
40085	EMS_Status	EMS-Status		uint16be	1	1	0	value		true	false	
40096	DC_String_1_Voltage	Spannung String 1 in Volt	V	uint16be	1	1	0	value		true	false	
40097	DC_String_2_Voltage	Spannung String 2 in Volt	V	uint16be	1	1	0	value		true	false	
40098	DC_String_3_Voltage	Spannung String 3 in Volt	V	uint16be	1	1	0	value		true	false	
40099	DC_String_1_Current	Strom String 1 in Ampere	A	uint16be	1	0.01	0	value		true	false	
40100	DC_String_2_Current	Strom String 2 in Ampere	A	uint16be	1	0.01	0	value		true	false	
40101	DC_String_3_Current	Strom String 3 in Ampere	A	uint16be	1	0.01	0	value		true	false	
40102	DC_String_1_Power	Leistung String 1 in Watt	W	uint16be	1	1	0	value		true	false	
40103	DC_String_2_Power	Leistung String 2 in Watt	W	uint16be	1	1	0	value		true	false	
40104	DC_String_3_Power	Leistung String 3 in Watt	W	uint16be	1	1	0	value		true	false	
